,,,,,,,,,,
Timestamp,Which speech have you listened to/read?,How much time did you spend reading the speech/hearing the speech?(In Minutes),1. the speech was trying to convey feelings of Anger,2. the speech was trying to convey feelings of Anticipation,3. the speech was trying to convey feelings of Joy,4. the speech was trying to convey feelings of Trust,5. the speech was trying to convey feelings of Fear,6. the speech was trying to convey feelings of Surprise,7. the speech was trying to convey feelings of Sadness,8. the speech was trying to convey feelings of Disgust
11/1/2023 18:43:05,"Greta Thunberg's Climate Change Speeches :https://www.npr.org/2019/09/23/763452863/transcript-greta-thunbergs-speech-at-the-u-n-climate-action-summit#:~:text=%22The%20popular%20idea%20of%20cutting,may%20be%20acceptable%20to%20you Video: https://www.youtube.com/watch?v=KAJsdgTPJpU",6,6,8,2,5,7,4,8,6
11/1/2023 19:17:05,,9,5,10,10,10,2,0,5,0
11/1/2023 20:58:36,Barack Obama's Farewell Address (2017):https://www.politico.com/story/2017/01/full-text-obama-farewell-speech-transcript-233916,8,0,5,7,8,1,4,5,0
11/1/2023 21:01:37,Steve Jobs' Stanford Commencement Speech (2005):https://academyatthelakes.org/wp-content/uploads/2016/02/SteveJobsatStanfordUniversityExcerpts.pdf Video: https://www.youtube.com/watch?v=UF8uR6Z6KLc,16,2,7,5,8,4,5,5,0
11/1/2023 21:08:54,Malala Yousafzai's United Nations Speech (2013):https://awpc.cattcenter.iastate.edu/2018/03/05/un-speech-on-youth-education-july-12-2013/ Video:https://www.youtube.com/watch?v=5SClmL43dTo,18,0,9,5,8,2,2,8,0
11/1/2023 21:14:30,"Winston Churchill's ""We Shall Fight on the Beaches"" Speech (1940):https://winstonchurchill.org/resources/speeches/1940-the-finest-hour/we-shall-fight-on-the-beaches/ Video:https://www.youtube.com/watch?v=skrdyoabmgA",6,7,10,2,8,1,2,0,0
11/4/2023 21:02:25,Barack Obama's Farewell Address (2017):https://www.politico.com/story/2017/01/full-text-obama-farewell-speech-transcript-233916,6,0,0,8,9,2,5,3,0
11/4/2023 21:03:39,Barack Obama's Farewell Address (2017):https://www.politico.com/story/2017/01/full-text-obama-farewell-speech-transcript-233916,5,3,5,9,10,2,6,4,0
11/4/2023 21:04:18,Barack Obama's Farewell Address (2017):https://www.politico.com/story/2017/01/full-text-obama-farewell-speech-transcript-233916,7,0,3,7,8,0,2,1,0
11/4/2023 21:10:17,Malala Yousafzai's United Nations Speech (2013):https://awpc.cattcenter.iastate.edu/2018/03/05/un-speech-on-youth-education-july-12-2013/ Video:https://www.youtube.com/watch?v=5SClmL43dTo,8,6,3,1,1,8,2,9,6
